,seconds of week [s],ECEF_vel_x,ECEF_vel_y,ECEF_vel_z,IMU_ATTI(0):velN[meters/Sec],IMU_ATTI(0):velE[meters/Sec],IMU_ATTI(0):velD[meters/Sec],IMU_ATTI(0):velH[meters/Sec],IMU_ATTI(0):velComposite[meters/Sec],GPS(0):Lat[degrees],GPS(0):Long[degrees],Normalized barometer:Raw[meters]
143,594881.8,0.12647223146632314,0.2771521518006921,0.5089680911041796,0.5876276,-0.042828523,-0.06317721,0.58918627,0.59256375,37.4264649,-122.1757563,20.552746
144,594882.0,0.17981590703129768,0.3447784148156643,0.42832935554906726,0.5756409,-0.03368949,0.053845275,0.576625917,0.5791345,37.426466,-122.1757563,20.692867
145,594882.2,0.10481058014556766,0.2514343187212944,0.5260606370866299,0.5809615,-0.047468199999999995,-0.100012325,0.58289754,0.5914153,37.4264667,-122.17575579999999,20.56843
146,594882.4,0.10119687207043171,0.1716093961149454,0.5786970732733607,0.58052987,-0.008018825,-0.1871859,0.580585245,0.61001456,37.426468299999996,-122.1757557,20.547516
147,594882.6,0.229261239990592,0.25322477240115404,0.5966741889715195,0.6782355,0.056915835,-0.08909498,0.680619401,0.68642604,37.4264691,-122.17575430000001,19.378853
148,594882.8,0.21693443227559328,0.19977396447211504,0.6591003825888038,0.6963254,0.07494562,-0.16817501,0.700347011,0.72025603,37.4264701,-122.17575359999998,18.923893
149,594883.0,0.21935157338157296,0.1909499103203416,0.671025815885514,0.7020389,0.08169049,-0.1803317,0.7067757240000001,0.7294185999999999,37.426471299999996,-122.175753,19.859410000000004
150,594883.2,0.14875594293698668,0.2002810537815094,0.6679322435520589,0.68153507,0.016967975,-0.2020336,0.68174627,0.7110524,37.4264723,-122.17575179999999,19.459385000000005
151,594883.4,0.14178065955638885,0.1395540302619338,0.6896983473561704,0.66532445,0.0434021,-0.25903046,0.6667386160000001,0.71528816,37.4264736,-122.17575079999999,18.979847
152,594883.6,0.18962740944698453,0.06356963887810707,0.7355929045006633,0.6781688,0.12436347,-0.31776315,0.689477461,0.7591789000000001,37.4264753,-122.17575090000001,19.253346
153,594883.8,0.2304020537994802,0.05278343614190817,0.6804223586805165,0.6420036,0.16461976,-0.2742406,0.662773182,0.71726996,37.426476,-122.17575020000001,19.452582999999997
