week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is,Pr_sigma
2092,594604.445748489,24460439.5467643,11,11975464.4314217,-23684363.8220679,2585661.88746815,-0.000360124703072,4.796679328
2092,594604.445748489,24735186.454391,13,-13072008.4985201,11261343.8290339,20046307.9587217,-1.26E-05,2.398339664
2092,594604.445748489,23693812.6721759,23,-696086.902121802,-25421563.0705333,-6585716.30855972,-0.000136052897916,2.698132122
2092,594604.445748489,24093993.629539,27,13217899.9695743,-7790984.01480645,21513598.0234086,-0.000212145079863,3.597509496
2092,594604.445748489,21648172.5420635,28,-22647816.0102896,-13253656.3882629,4156482.89449548,0.000738972634701,4.197094412
2092,594604.445748489,21160978.6216733,30,-15146356.8324293,-7205879.1442933,20661383.592209,-0.000154001953882,3.597509496
2092,594605.445748489,24409219.1092478,4,1381145.22053907,-25346450.272316,-7770690.33965461,-4.93E-05,3.297717038
2092,594605.445748489,23498491.5823057,5,-21671922.8601265,4276404.04777443,14751649.249405,-7.66E-06,2.99792458
2092,594605.445748489,20829114.9526571,7,-5124951.21317705,-15417281.9312615,21219733.8168551,-0.000215248943184,3.297717038
2092,594605.445748489,22206230.1912745,8,7847118.96117353,-18836362.4897699,16894310.1233389,-2.39E-05,3.297717038
2092,594605.445748489,21777554.2498577,9,-6951871.08977114,-25533142.953046,2127472.49961104,-0.000156390496081,3.597509496
2092,594605.445748489,24459999.4522729,11,11975695.6773735,-23683850.5774711,2588683.13477843,-0.000360124690855,4.796679328
2092,594605.445748489,24734518.4949564,13,-13072289.8335275,11258783.7643099,20047562.6906455,-1.26E-05,4.197094412
2092,594605.445748489,23694478.502684,23,-695545.139332575,-25420766.7906143,-6588723.89727018,-0.000136052898994,2.398339664
2092,594605.445748489,24094470.8929942,27,13218493.804079,-7788287.17683265,21514238.2544937,-0.000212145092604,4.197094412
2092,594605.445748489,21647754.9234525,28,-22647307.8976979,-13253675.7991181,4159650.41582136,0.000738972632408,3.897301954
2092,594605.445748489,21160706.3982765,30,-15144372.826439,-7207594.1044032,20662220.9194881,-0.000154001962208,3.597509496
2092,594606.445748489,24409891.7453408,4,1381568.61198092,-25345517.6234912,-7773656.0313146,-4.93E-05,3.297717038
2092,594606.445748489,23498546.6551929,5,-21673664.6124791,4275636.08210825,14749353.0654017,-7.66E-06,2.99792458
2092,594606.445748489,20829126.8537056,7,-5122882.38264947,-15418923.7485627,21218983.2547907,-0.000215248949537,3.297717038
2092,594606.445748489,22206368.6064016,8,7847734.22032582,-18834297.6917855,16896353.5662592,-2.39E-05,3.597509496
2092,594606.445748489,21778089.3084341,9,-6951627.29959567,-25533477.7637987,2124329.19614782,-0.000156390504781,3.597509496
2092,594606.445748489,24459565.2559551,11,11975926.8100039,-23683336.9946385,2591704.32759191,-0.000360124678637,5.096471786
2092,594606.445748489,24733839.9606898,13,-13072571.329864,11256223.5578978,20048816.9907143,-1.26E-05,3.897301954
2092,594606.445748489,23695129.2562039,23,-695003.24873184,-25419970.1659018,-6591731.34122874,-0.000136052900072,2.698132122
2092,594606.445748489,24094933.0794612,27,13219087.8167299,-7785590.29852553,21514878.0208433,-0.000212145105345,4.197094412
2092,594606.445748489,21647337.7934477,28,-22646799.4269826,-13253695.0727943,4162817.84870274,0.000738972630115,4.197094412
2092,594606.445748489,21160441.5737721,30,-15142388.8309641,-7209309.23968368,20663057.80977,-0.000154001970534,3.897301954
2092,594607.445748489,24410565.0794425,4,1381992.11744349,-25344584.6311622,-7776621.55730357,-4.93E-05,2.99792458
2092,594607.445748489,23498602.7052922,5,-21675406.1311451,4274868.30220048,14747056.5676708,-7.66E-06,3.297717038
2092,594607.445748489,20829123.5381642,7,-5120813.71164929,-15420565.6277651,21218232.2495907,-0.000215248955892,3.297717038
2092,594607.445748489,22206492.7123502,8,7848349.65427556,-18832232.679792,16898396.6469961,-2.39E-05,3.297717038
2092,594607.445748489,21778594.1432333,9,-6951383.44679895,-25533812.2020026,2121185.84709938,-0.00015639051348,3.597509496
2092,594607.445748489,24459141.0411618,11,11976157.8294535,-23682823.0735147,2594725.46580641,-0.000360124666421,5.096471786
2092,594607.445748489,24733160.3445097,13,-13072852.9875696,11253663.2099041,20050070.8588621,-1.26E-05,2.99792458
2092,594607.445748489,23695782.2084513,23,-694461.230283658,-25419173.1964715,-6594738.64019789,-0.00013605290115,2.698132122
2092,594607.445748489,24095398.9653745,27,13219682.0074918,-7782893.38011478,21515517.3224048,-0.000212145118085,4.197094412
2092,594607.445748489,21646913.6135549,28,-22646290.5980292,-13253714.2095056,4165985.19315487,0.000738972627824,3.897301954
2092,594607.445748489,21160159.787656,30,-15140404.8458181,-7211024.55041472,20663894.2631049,-0.000154001978861,3.597509496
2092,594608.445748489,24411234.6093967,4,1382415.73692043,-25343651.2953494,-7779586.91760282,-4.93E-05,3.297717038
2092,594608.445748489,23498651.3913997,5,-21677147.4161135,4274100.70803593,14744759.7561979,-7.66E-06,3.297717038
2092,594608.445748489,20829124.2361729,7,-5118745.20047253,-15422207.5686725,21217480.8013167,-0.000215248962246,3.297717038
2092,594608.445748489,22206624.1124897,8,7848965.26283881,-18830167.4540651,16900439.365359,-2.39E-05,3.297717038
2092,594608.445748489,21779132.9710566,9,-6951139.53186656,-25534146.2674585,2118042.45320605,-0.000156390522179,3.597509496
2092,594608.445748489,24458704.6461166,11,11976388.7358326,-23682308.814025,2597746.54958097,-0.000360124654205,4.796679328
2092,594608.445748489,24732482.9270571,13,-13073134.8066111,11251102.7204756,20051324.2950484,-1.26E-05,4.796679328
2092,594608.445748489,23696434.3579887,23,-693919.084006823,-25418375.8823437,-6597745.79414111,-0.000136052902229,2.398339664
2092,594608.445748489,24095862.8270624,27,13220276.3763583,-7780196.42164419,21516156.1591782,-0.000212145130825,4.197094412
2092,594608.445748489,21646494.2848226,28,-22645781.4109322,-13253733.2091648,4169152.44898538,0.000738972625533,4.197094412
2092,594608.445748489,21159894.5792468,30,-15138420.8713624,-7212740.03620175,20664730.2793808,-0.000154001987187,3.597509496
2092,594609.445748489,24411906.6870828,4,1382839.47034985,-25342717.6161103,-7782552.11208359,-4.93E-05,3.297717038
2092,594609.445748489,23498705.5568756,5,-21678888.4672316,4273333.29974296,14742462.6311333,-7.66E-06,3.297717038
2092,594609.445748489,20829131.6699657,7,-5116676.84922608,-15423849.5712024,21216728.9099896,-0.000215248968602,3.297717038
2092,594609.445748489,22206753.2790014,8,7849581.04605752,-18828102.0145999,16902481.7213682,-2.39E-05,3.297717038
2092,594609.445748489,21779645.832956,9,-6950895.55438414,-25534479.9603229,2114899.01390909,-0.000156390530878,3.597509496
2092,594609.445748489,24458253.6975898,11,11976619.5291474,-23681794.2161742,2600767.57887283,-0.00036012464199,5.096471786
2092,594609.445748489,24731797.8315086,13,-13073416.7870153,11248542.0895932,20052577.2992862,-1.26E-05,3.597509496
2092,594609.445748489,23697090.8351801,23,-693376.80995865,-25417578.2235605,-6600752.80293748,-0.000136052903308,2.398339664
2092,594609.445748489,24096331.9238157,27,13220870.92328,-7777499.42330494,21516794.5311347,-0.000212145143565,4.197094412
2092,594609.445748489,21646071.2217437,28,-22645271.8656717,-13253752.0718232,4172319.6162158,0.000738972623243,4.197094412
2092,594609.445748489,21159606.9996585,30,-15136436.9073451,-7214455.69734678,20665565.8586872,-0.000154001995514,3.597509496
2092,594610.445748488,24412572.0987856,4,1383263.31794638,-25341783.5934387,-7785517.14077521,-4.93E-05,3.597509496
2092,594610.445748488,23498756.720914,5,-21680629.2845217,4272566.07714623,14740165.1924604,-7.66E-06,3.297717038
2092,594610.445748488,20829123.4683634,7,-5114608.65764928,-15425491.6354763,21215976.5755664,-0.000215248974957,3.297717038
