week,seconds of week [s],pr [m],SV,sat x ECEF [m],sat y ECEF [m],sat z ECEF [m],idk wtf this is
2092,594863.4,23518083.4652686,5,-22113396.6205943,4084366.0532454,14148974.1268359,-7.66E-06
2092,594863.4,20833344.8505368,7,-4596601.85585341,-15842774.9609656,21011438.4202308,-0.000215250601231
2092,594863.4,22246547.9072494,8,8011705.0107389,-18296724.2126259,17409387.2363952,-2.39E-05
2092,594863.4,21916736.034835,9,-6886764.44761626,-25607183.6708339,1315189.19639463,-0.00015639273778
2092,594863.4,24351509.4941609,11,12031700.7488968,-23540099.3864187,3366163.32941956,-0.000360121563268
2092,594863.4,24561902.9304003,13,-13150307.8940462,10593743.2628767,20356777.8151655,-1.26E-05
2092,594863.4,23866742.0963483,23,-551385.043590502,-25203895.9821728,-7359650.25478321,-0.000136053189969
2092,594863.4,24219252.1300849,27,13377642.6907054,-7091361.75445825,21663855.3906606,-0.000212148369775
2092,594863.4,21544208.2281214,28,-22504228.1453125,-13254258.1983617,4973725.95581026,0.00073897207101
2092,594863.4,21093334.7721293,30,-14633008.6990952,-7655825.16412827,20863600.5283712,-0.000154004116474
2092,594864.4,24586112.0711762,4,1494733.74775757,-25093509.9197706,-8533089.20205917,-4.93E-05
2092,594864.4,23518165.3067897,5,-22115076.3192086,4083645.28011887,14146598.6628745,-7.66E-06
2092,594864.4,20833360.1369275,7,-4594575.55719243,-15844431.0240209,21010574.0099425,-0.000215250607732
2092,594864.4,22246715.8132445,8,8012366.01299345,-18294606.2318767,17411335.8051843,-2.39E-05
2092,594864.4,21917280.1675246,9,-6886502.91056053,-25607422.5119571,1312036.43800612,-0.000156392746458
2092,594864.4,24351094.28368,11,12031904.1496792,-23539498.1659432,3369168.34391935,-0.000360121551241
2092,594864.4,24561223.5934237,13,-13150631.5133873,10591148.7116416,20357919.8103601,-1.26E-05
2092,594864.4,23867411.2074973,23,-550808.832620562,-25203011.4469574,-7362618.09561035,-0.000136053191147
2092,594864.4,24219741.7133938,27,13378282.5154397,-7088656.85879219,21664374.8559234,-0.000212148382438
2092,594864.4,21543808.8973387,28,-22503627.0425961,-13254243.9153886,4976868.35443765,0.000738972068951
2092,594864.4,21093077.5559199,30,-14631029.2690784,-7657584.52288317,20864324.0899471,-0.000154004124847
2092,594865.4,24586799.5050539,4,1495188.08204851,-25092489.391482,-8536009.88522507,-4.93E-05
2092,594865.4,23518254.9311081,5,-22116755.7704574,4082924.68693324,14144222.8982543,-7.66E-06
2092,594865.4,20833384.4276306,7,-4592549.42853131,-15846087.135534,21009709.1603497,-0.000215250614233
2092,594865.4,22246887.8723914,8,8013027.19506002,-18292488.0528829,17413284.0008193,-2.39E-05
2092,594865.4,21917825.486829,9,-6886241.29825067,-25607660.981933,1308883.65167691,-0.000156392755136
2092,594865.4,24350678.1657878,11,12032107.4487511,-23538896.6045265,3372173.28745711,-0.000360121539215
2092,594865.4,24560583.5543374,13,-13150955.2976651,10588554.0362796,20359061.36683,-1.26E-05
2092,594865.4,23868076.7588019,23,-550232.483403222,-25202126.5751455,-7365585.77440903,-0.000136053192324
2092,594865.4,24220236.6713698,27,13378922.5170338,-7085951.94121683,21664893.8534937,-0.0002121483951
2092,594865.4,21543428.7617954,28,-22503025.5802116,-13254229.5093364,4980010.64727479,0.000738972066894
2092,594865.4,21092817.3382729,30,-14629049.8639401,-7659344.04908304,20865047.2100925,-0.000154004133221
2092,594866.4,24587495.3499365,4,1495642.54129553,-25091468.5282803,-8538930.38639885,-4.93E-05
2092,594866.4,23518355.4094618,5,-22118434.9742798,4082204.27362786,14141846.8330507,-7.66E-06
2092,594866.4,20833397.9689996,7,-4590523.46965507,-15847743.2955965,21008843.8714111,-0.000215250620734
2092,594866.4,22247062.0953653,8,8013688.55702043,-18290369.6756658,17415231.8232723,-2.39E-05
2092,594866.4,21918374.1565751,9,-6885979.61058271,-25607899.0807824,1305730.83749733,-0.000156392763814
2092,594866.4,24350259.3954625,11,12032310.6462324,-23538294.7021187,3375178.15998763,-0.00036012152719
2092,594866.4,24559929.7295792,13,-13151279.2471153,10585959.2361917,20360202.4847531,-1.26E-05
2092,594866.4,23868749.5344966,23,-549655.995917315,-25201241.366802,-7368553.29100697,-0.000136053193502
2092,594866.4,24220732.850861,27,13379562.6955165,-7083247.00171497,21665412.3833688,-0.000212148407763
2092,594866.4,21543036.0969958,28,-22502423.7579526,-13254214.9804931,4983152.83458878,0.000738972064837
2092,594866.4,21092571.5345058,30,-14627070.4838618,-7661103.74257194,20865769.8887496,-0.000154004141596
2092,594867.4,24588190.147806,4,1496097.1255622,-25090447.3301673,-8541850.70561077,-4.93E-05
2092,594867.4,23518444.0216675,5,-22120113.9307663,4081484.04004573,14139470.467134,-7.66E-06
2092,594867.4,20833430.2170019,7,-4588497.68094577,-15849399.5039518,21007978.1432272,-0.000215250627237
2092,594867.4,22247232.5490922,8,8014350.0988961,-18288251.1002484,17417179.2725416,-2.39E-05
2092,594867.4,21918923.2451265,9,-6885717.84753742,-25608136.8085066,1302577.99550227,-0.000156392772492
2092,594867.4,24349855.7370257,11,12032513.7420073,-23537692.4588225,3378182.96126977,-0.000360121515166
2092,594867.4,24559237.3747401,13,-13151603.3618202,10583364.3111762,20361343.1641992,-1.26E-05
2092,594867.4,23869426.6378453,23,-549079.370150588,-25200355.8219503,-7371520.64536804,-0.00013605319468
2092,594867.4,24221229.4840578,27,13380203.0508703,-7080542.04037331,21665930.4455403,-0.000212148420425
2092,594867.4,21542640.5354601,28,-22501821.5758913,-13254200.3288164,4986294.91621394,0.000738972062781
2092,594867.4,21092306.0817936,30,-14625091.1286257,-7662863.60361004,20866492.1259845,-0.00015400414997
2092,594868.4,24588863.6564099,4,1496551.83499199,-25089425.7971058,-8544770.84299201,-4.93E-05
2092,594868.4,23518538.6367481,5,-22121792.6397364,4080763.9863483,14137093.8007003,-7.66E-06
2092,594868.4,20833464.279827,7,-4586472.06229766,-15851055.760648,21007111.9757662,-0.00021525063374
2092,594868.4,22247406.6324644,8,8015011.8206177,-18286132.3267781,17419126.3485354,-2.39E-05
2092,594868.4,21919468.4597296,9,-6885456.00908733,-25608374.1651091,1299425.12571818,-0.00015639278117
2092,594868.4,24349434.1397651,11,12032716.7362832,-23537089.874492,3381187.69156683,-0.000360121503142
2092,594868.4,24558574.7550721,13,-13151927.641521,10580769.2621393,20362483.4048825,-1.26E-05
2092,594868.4,23870086.3607772,23,-548502.605941487,-25199469.9405625,-7374487.83763712,-0.000136053195859
2092,594868.4,24221728.5253848,27,13380843.5830658,-7077837.05731725,21666448.0399943,-0.000212148433087
2092,594868.4,21542249.7901845,28,-22501219.034092,-13254185.5542728,4989436.89199926,0.000738972060726
2092,594868.4,21092058.6726065,30,-14623111.7986243,-7664623.63177793,20867213.9216895,-0.000154004158344
2092,594869.4,24589548.8566596,4,1497006.6693832,-25088403.9292532,-8547690.79816147,-4.93E-05
2092,594869.4,23518638.3472922,5,-22123471.1011471,4080044.11249624,14134716.8337919,-7.66E-06
2092,594869.4,20833473.4237411,7,-4584446.61345864,-15852712.0658129,21006245.3689661,-0.000215250640243
2092,594869.4,22247578.272806,8,8015673.72225061,-18284013.355257,17421073.0512537,-2.39E-05
2092,594869.4,21920023.5162555,9,-6885194.09527222,-25608611.150566,1296272.22835391,-0.000156392789847
2092,594869.4,24349019.9762973,11,12032919.6289498,-23536486.9492396,3384192.35056317,-0.000360121491119
2092,594869.4,24557905.7486244,13,-13152252.0863661,10578174.0887127,20363623.2069168,-1.26E-05
2092,594869.4,23870770.0603082,23,-547925.70357504,-25198583.7227879,-7377454.86734143,-0.000136053197038
2092,594869.4,24222218.5623993,27,13381484.2921433,-7075132.05247062,21666965.166741,-0.000212148445748
2092,594869.4,21541857.8233936,28,-22500616.1325139,-13254170.6569573,4992578.76194478,0.000738972058672
2092,594869.4,21091790.2184568,30,-14621132.4935779,-7666383.82741826,20867935.2759432,-0.000154004166719
2092,594870.4,24590216.1180856,4,1497461.62909143,-25087381.726526,-8550610.57134926,-4.93E-05
2092,594870.4,23518719.1767008,5,-22125149.3151208,4079324.41820088,14132339.5662669,-7.66E-06
2092,594870.4,20833491.3276645,7,-4582421.33476627,-15854368.4191888,21005378.3229389,-0.000215250646747
2092,594870.4,22247749.9480482,8,8016335.80386161,-18281894.185738,17423019.3806422,-2.39E-05
2092,594870.4,21920570.2664777,9,-6884932.10582342,-25608847.7649542,1293119.30328177,-0.000156392798525
2092,594870.4,24348603.4745003,11,12033122.4201974,-23535883.6829655,3387196.93829682,-0.000360121479097
2092,594870.4,24557218.5590498,13,-13152576.6964487,10575578.7907738,20364762.570324,-1.26E-05
2092,594870.4,23871440.0090677,23,-547348.662619653,-25197697.1685538,-7380421.73479231,-0.000136053198217
2092,594870.4,24222717.0104188,27,13382125.1780545,-7072427.02606738,21667481.8257411,-0.000212148458409
2092,594870.4,21541467.7063258,28,-22500012.8711215,-13254155.6369868,4995720.52595654,0.000738972056619
2092,594870.4,21091545.1824993,30,-14619153.2138889,-7668144.19013336,20868656.1886237,-0.000154004175094
2092,594871.4,24590929.9366924,4,1497916.71352065,-25086359.1892126,-8553530.16185992,-4.93E-05
2092,594871.4,23518825.0646221,5,-22126827.2812897,4078604.90390889,14129961.9985291,-7.66E-06
2092,594871.4,20833506.9630596,7,-4580396.22623718,-15856024.8207669,21004510.8376699,-0.000215250653252
2092,594871.4,22247923.5777147,8,8016998.06534911,-18279774.8183499,17424965.3366439,-2.39E-05
2092,594871.4,21921117.1214012,9,-6884670.04089978,-25609084.00822,1289966.35066293,-0.000156392807203
2092,594871.4,24348190.078842,11,12033325.1098988,-23535280.0757588,3390201.4546442,-0.000360121467076
2092,594871.4,24556541.6651037,13,-13152901.4716161,10572983.3688068,20365901.4949693,-1.26E-05
2092,594871.4,23872102.8730388,23,-546771.483236313,-25196810.2779107,-7383388.43985277,-0.000136053199397
2092,594871.4,24223206.3145243,27,13382766.2408188,-7069721.97804431,21667998.017014,-0.00021214847107
2092,594871.4,21541073.2267036,28,-22499409.249956,-13254140.4943193,4998862.18402837,0.000738972054567
2092,594871.4,21091282.9057266,30,-14617173.9593162,-7669904.72018672,20869376.6598115,-0.000154004183469
2092,594872.4,24591593.3590704,4,1498371.92358513,-25085336.3169733,-8556449.57057649,-4.93E-05
2092,594872.4,23518914.9681438,5,-22128504.9998947,4077885.56915805,14127584.1303035,-7.66E-06
2092,594872.4,20833535.4069145,7,-4578371.2879839,-15857681.2704201,21003642.9132185,-0.000215250659757
2092,594872.4,22248089.3198828,8,8017660.50689531,-18277655.2530213,17426910.9192824,-2.39E-05
2092,594872.4,21921666.5938574,9,-6884407.90033255,-25609319.8804019,1286813.37058989,-0.00015639281588
2092,594872.4,24347773.0535385,11,12033527.6982679,-23534676.1275132,3393205.89961008,-0.000360121455055
2092,594872.4,24555894.3667269,13,-13153226.4118669,10570387.823036,20367039.9807553,-1.26E-05
2092,594872.4,23872781.861011,23,-546194.165437571,-25195923.05096,-7386354.98222834,-0.000136053200577
2092,594872.4,24223709.0203969,27,13383407.4803806,-7067016.90867575,21668513.7405115,-0.000212148483731
2092,594872.4,21540678.3631766,28,-22498805.2689628,-13254125.2291087,5002003.7360539,0.000738972052516
2092,594872.4,21091022.9323828,30,-14615194.7300389,-7671665.41744112,20870096.6894438,-0.000154004191844
2092,594873.4,24592279.745935,4,1498827.25877979,-25084313.110119,-8559368.79672198,-4.93E-05
2092,594873.4,23518979.254746,5,-22130182.4709495,4077166.413838,14125205.9615651,-7.66E-06
2092,594873.4,20833551.1470109,7,-4576346.51976615,-15859337.7682672,21002774.5495267,-0.000215250666263
2092,594873.4,22248259.7736096,8,8018323.12844367,-18275535.4899234,17428856.1284349,-2.39E-05
2092,594873.4,21922209.0862265,9,-6884145.68399066,-25609555.3815346,1283660.36302927,-0.000156392824558
2092,594873.4,24347359.4833781,11,12033730.1853157,-23534071.8382493,3396210.27305934,-0.000360121443035
2092,594873.4,24555217.891586,13,-13153551.5174341,10567792.1528243,20368178.0278806,-1.26E-05
2092,594873.4,23873458.6502558,23,-545616.709024148,-25195035.4876833,-7389321.36203418,-0.000136053201757
2092,594873.4,24224202.9662602,27,13384048.8968222,-7064311.8177542,21669028.9962615,-0.000212148496391
2092,594873.4,21540291.7710528,28,-22498200.928176,-13254109.8413743,5005145.18187627,0.000738972050465
2092,594873.4,21090771.2653425,30,-14613215.5261594,-7673426.28181524,20870816.2774901,-0.00015400420022
2092,594874.4,24592965.7139944,4,1499282.71918554,-25083289.5686034,-8562287.84046495,-4.93E-05
2092,594874.4,23519067.4830469,5,-22131859.6940547,4076447.43843258,14122827.4927561,-7.66E-06
2092,594874.4,20833572.5060774,7,-4574321.92190271,-15860994.3141106,21001905.7466625,-0.000215250672769
2092,594874.4,22248431.6233539,8,8018985.92993385,-18273415.52913,17430800.964084,-2.39E-05
2092,594874.4,21922759.8848992,9,-6883883.39207567,-25609790.51155,1280507.32820573,-0.000156392833235
2092,594874.4,24346938.0606196,11,12033932.571029,-23533467.2079688,3399214.5750447,-0.000360121431016
2092,594874.4,24554560.8210872,13,-13153876.7880946,10565196.3588845,20369315.6361376,-1.26E-05
2092,594874.4,23874134.4622885,23,-545039.114106146,-25194147.5881134,-7392287.57919544,-0.000136053202938
2092,594874.4,24224683.5801572,27,13384690.4901162,-7061606.70536496,21669543.7842626,-0.000212148509051
2092,594874.4,21539904.8299246,28,-22497596.2276197,-13254094.3310924,5008286.52152334,0.000738972048416
2092,594874.4,21090509.0234703,30,-14611236.3476136,-7675187.31337555,20871535.4239807,-0.000154004208595
2092,594875.4,24593653.392175,4,1499738.30490927,-25082265.6924655,-8565206.70171909,-4.93E-05
2092,594875.4,23519150.441382,5,-22133536.6693625,4075728.64261806,14120448.7236985,-7.66E-06
2092,594875.4,20833592.2248234,7,-4572297.49430474,-15862650.9079591,21001036.5046218,-0.000215250679276
2092,594875.4,22248601.8327778,8,8019648.9114639,-18271295.3706509,17432745.4262062,-2.39E-05
2092,594875.4,21923303.0403766,9,-6883621.02434025,-25610025.2705173,1277354.26602243,-0.000156392841912
2092,594875.4,24346527.5616975,11,12034134.8554092,-23532862.2367172,3402218.80531036,-0.000360121418997
2092,594875.4,24553872.1307939,13,-13154202.2240819,10562600.4406377,20370452.8056941,-1.26E-05
2092,594875.4,23874789.752865,23,-544461.380404524,-25193259.3522311,-7395253.63383621,-0.000136053204119
2092,594875.4,24225186.5652334,27,13385332.2601407,-7058901.57197582,21670058.1044432,-0.000212148521711
2092,594875.4,21539498.5190548,28,-22496991.1671468,-13254078.6984949,5011427.75512498,0.000738972046367
2092,594875.4,21090246.9561003,30,-14609257.1945249,-7676948.51203488,20872254.1288729,-0.000154004216971
2092,594876.4,24594356.4265473,4,1500194.01596873,-25081241.4817858,-8568125.38029171,-4.93E-05
2092,594876.4,23519273.3956162,5,-22135213.3965375,4075010.0266509,14118069.6548012,-7.66E-06
2092,594876.4,20833618.0511457,7,-4570273.23704038,-15864307.5497248,21000166.8234423,-0.000215250685783
2092,594876.4,22248780.5579079,8,8020312.07304346,-18269175.0146118,17434689.5146964,-2.39E-05
2092,594876.4,21923864.8675869,9,-6883358.58083987,-25610259.6584019,1274201.1768207,-0.000156392850589
2092,594876.4,24346113.2935284,11,12034337.0386707,-23532256.9243744,3405222.96394294,-0.00036012140698
2092,594876.4,24553229.9976815,13,-13154527.8251571,10560004.399033,20371589.5362299,-1.26E-05
2092,594876.4,23875468.4965342,23,-543883.508153078,-25192370.7801949,-7398219.52545804,-0.000136053205301
2092,594876.4,24225686.9676773,27,13385974.2070085,-7056196.41730579,21670571.9568366,-0.00021214853437
2092,594876.4,21539129.5167505,28,-22496385.7470072,-13254062.9434018,5014568.88202411,0.00073897204432
2092,594876.4,21089992.7413283,30,-14607278.0669874,-7678709.87773699,20872972.392133,-0.000154004225347
2092,594877.4,24595042.743611,4,1500649.85251005,-25080216.9364865,-8571043.87643222,-4.93E-05
2092,594877.4,23519354.1203235,5,-22136889.8760461,4074291.58999072,14115690.2854634,-7.66E-06
2092,594877.4,20833642.0975457,7,-4568249.15015307,-15865964.2393818,20999296.7031171,-0.000215250692291
2092,594877.4,22248954.7808818,8,8020975.41467531,-18267054.4610017,17436633.2295976,-2.39E-05
